Vehicle Spy 3 Bus Traffic File
Save Date,5/19/2015
Save Time,1:51:21 pm
Start Date,5/19/2015
Start Time,1:41:25 pm
System Time,90634458
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,500000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1,1.688000023365021,0,67371008,F,F,J1708 $0A,J1708,,0A,92,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
3,1.748525172472,0.06052514910697937,67371008,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F7,,,
5,1.807906329631806,0.0593811571598053,137645179273216,F,F,J1708 $0A,J1708,,0A,99,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
7,1.868327468633652,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE EB,,,
9,1.921572953462601,0.05324548482894897,4643443829899264,F,F,J1708 $0A,J1708,,0A,A4,80,46,00,47,00,53,00,59,,,,
10,1.988129764795303,0.06655681133270264,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F4,,,
12,2.047615736722946,0.05948597192764282,102323368230912,F,F,J1708 $0A,J1708,,0A,9D,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
14,2.107932060956955,0.06031632423400879,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F4,,,
16,2.167521268129349,0.0595892071723938,280444251930624,F,F,J1708 $0A,J1708,,0A,9D,80,64,3B,66,BC,69,5D,6E,95 A4 83 05 A8 1D,,,
18,2.227734386920929,0.0602131187915802,67371008,F,F,J1708 $01,J1708,,01,04,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE CF,,,
20,2.287115573883056,0.05938118696212769,102323368230912,F,F,J1708 $0A,J1708,,0A,BF,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
22,2.34753668308258,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F1,,,
24,2.378411948680878,0.03087526559829712,4784181318254592,F,F,J1708 $0A,J1708,,0A,9F,88,80,54,80,80,54,8E,80,54,,,
25,2.406917870044708,0.02850592136383056,67371008,F,F,J1708 $82,J1708,,82,6C,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
27,2.467338979244232,0.06042110919952393,278382667628544,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE 0A,,,
29,2.526720196008682,0.05938121676445007,67371008,F,F,J1708 $0B,J1708,,0B,86,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
31,2.587142497301102,0.06042230129241943,278382667628544,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E5,,,
33,2.634043008089066,0.04690051078796387,4504905364799488,F,F,J1708 $0A,J1708,,0A,AA,80,C2,,,,,,,,,,
34,2.707047581672668,0.07300457358360291,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE E5,,,
36,2.766428828239441,0.05938124656677246,139706763575296,F,F,J1708 $0A,J1708,,0A,AC,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
38,2.826746225357056,0.06031739711761475,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,02 BB 00 00 BE FA,,,
